user_id,user_name,user_screen_name,user_location,user_description,user_followers_count,user_friends_count,user_defphoto,user_default_profile,user_statuses_cnt,user_verification,description_len,followers_to_all_ratio,tweets_per_day,fav_per_day,friends_per_day,follower_per_day,isProtected,user_favorites_count,username_numbers,public_lists,account_age,user_network,retweet_total_ratio,num_median_favorites,num_median_retweets,num_of_tweets,num_of_retweets,avg_mins_between_tweets,screen_name,isBot
1.43124E+18,Nasreena Khan Wazir,nasreenakhan006,"Islamabad, Pakistan",Student,65,185,FALSE,TRUE,2551,FALSE,7,0.26,4.972709552,34.45614035,0.360623782,0.126705653,FALSE,17676,3,0,513,21.897,0.395939086,0,0,197,78,271.8367347,nasreenakhan006,No
1.30434E+18,fania :((((,scorpiehoez,bogor ,have a holly jolly🎄,8235,3011,FALSE,TRUE,42771,FALSE,19,0.732260359,49.5608343,17.93047509,3.488991889,9.542294322,FALSE,15474,0,11,863,72.218,0.125,0,0,200,25,144.7236181,scorpiehoez,No
1.11604E+18,Yusuf Aksoy,yusufak63712920,,"Bir şeyden pişmanlık duymak istemiyorsan,her şey (ALLAH)için yap",95,399,FALSE,TRUE,14300,FALSE,64,0.192307692,10.33984093,13.17425886,0.288503254,0.068691251,FALSE,18220,8,0,1383,27.343,0.91,0,8,200,182,14.47236181,yusufak63712920,Yes
4859899931,Be (VIXX6) ama oppalarının düğününe gidemiyor,nedenburdaysam,Hufflepuff ortak salon ,"SMStan
/St☆rlight ///come on girls,this is our generation/// æspa",40,83,FALSE,TRUE,21303,FALSE,65,0.325203252,8.354117647,10.58784314,0.03254902,0.015686275,FALSE,26999,0,5,2550,16.457,0.015306122,1,0,196,3,465.2307692,nedenburdaysam,No
2225373636,SLMDMR,biologselim,,"BİYOLOG🔬🦠
Nanoteknoloji",100,98,FALSE,TRUE,1629,FALSE,23,0.505050505,0.48787062,0.652590596,0.029350105,0.029949087,FALSE,2179,0,0,3339,21.206,0.659898477,0,25,197,130,455.5102041,biologselim,No
1.24965E+18,Pınar Aslan,pinaraslan4558,"İstanbul, Türkiye","Bir varmış, bir yokmuş..",9105,5270,FALSE,TRUE,24755,FALSE,24,0.633391304,24.41321499,116.086785,5.197238659,8.979289941,FALSE,117712,4,3,1014,78.133,0.575,0,24,200,115,43.41708543,pinaraslan4558,No
436894338,HÜSEYİN OĞUR TÜRKİYEM🇹🇷,hseynugur,HüseyinOğur🟢🇹🇷,🇹🇷MESELE VATAN İSE GERİSİ TEFERRUAT. t🇹🇷🙋🇹🇷,5286,4947,FALSE,FALSE,124402,FALSE,43,0.516564057,30.66354449,11.78259798,1.219373922,1.302933202,FALSE,47802,0,14,4057,72.931,0.98,0,334.5,200,196,21.70854271,hseynugur,Yes
306919165,ÖMER AKDAĞ,omerakdag34,,"Empati yap ama herkesi kendin gibi ""temiz"" zannetme!",5961,0,FALSE,TRUE,8339,FALSE,52,1,1.958891238,0.462767207,0,1.400281889,FALSE,1970,2,6,4257,0,0.01,31.5,3,200,2,962.4120603,omerakdag34,No
9.67881E+17,seda,bensuveyda_,Y🤍,bilmiyorum,1072,658,FALSE,TRUE,9139,FALSE,10,0.619653179,5.099888393,84.81194196,0.3671875,0.598214286,FALSE,151983,0,1,1792,45.294,0.196969697,1,0,198,39,197.3604061,bensuveyda_,No
1.38384E+18,Pnr BKR,diyabetliannesi,,,80,132,FALSE,TRUE,2006,FALSE,0,0.377358491,3.114906832,0.583850932,0.204968944,0.124223602,FALSE,376,0,0,644,21.487,1,0,28,200,200,57.88944724,diyabetliannesi,Yes
1.38387E+18,yörükoğlu,yorukoglu799,,,4367,5002,FALSE,TRUE,26151,FALSE,0,0.466111645,40.60714286,45.61956522,7.767080745,6.781055901,FALSE,29379,3,0,644,71.398,0.829145729,0,18,199,165,29.09090909,yorukoglu799,No
1.34132E+18,Bilgin,bilgin21604923,,VİCDAN İNSANIN İÇİNDEKİ TANRIDIR.,5552,5639,FALSE,TRUE,5038,FALSE,33,0.496112948,6.620236531,7.784494087,7.409986859,7.295663601,FALSE,5924,8,0,761,74.477,0.432160804,0,0,199,86,341.8181818,bilgin21604923,No
1.40004E+18,alaraaa,alaraaynncnm,,,0,0,FALSE,TRUE,15,FALSE,0,0,0.025041736,0.008347245,0,0,FALSE,5,0,0,599,0,0,0,0,15,0,1851.428571,alaraaynncnm,No
1.34538E+18,Gül,gl21509653,,...,189,255,FALSE,TRUE,4587,FALSE,3,0.425675676,6.116,7.294666667,0.34,0.252,FALSE,5471,8,0,750,29.095,0.665,0,11,200,133,108.5427136,gl21509653,Yes
124726283,Suna Yildizoglu,sunayildizoglu,Istanbul,"Anonim - 'Alıştığın kadar esir, vaz geçebildiğin kadar özgürsün.'",127841,2546,FALSE,FALSE,83875,FALSE,65,0.980473513,17.87998295,23.75271797,0.54274142,27.25239821,FALSE,111424,0,106,4691,92.226,0.131313131,1,0,198,26,95.02538071,sunayildizoglu,No
1.39245E+18,Sydney,_sydneycarton_,,,48,43,FALSE,TRUE,3850,FALSE,0,0.527472527,6.209677419,27.21290323,0.069354839,0.077419355,FALSE,16872,0,0,620,14.727,0.025,1,0,200,5,72.36180905,_sydneycarton_,No
1.47256E+18,İbrahim güven,brahimg77016159,,,2,17,TRUE,TRUE,793,FALSE,0,0.105263158,1.987468672,1.62406015,0.042606516,0.005012531,FALSE,648,8,0,399,3.176,0,0,0,200,0,332.8643216,brahimg77016159,No
163843747,Denizli Haber,denizlihabercom,Denizli,"https://t.co/YxPJVU4WX5 
Denizli'nin en çok okunan gazetesi. 
Sosyal paylaşım sitelerinde...",22963,41,FALSE,FALSE,49604,FALSE,92,0.998217701,10.82584024,0.003491925,0.008948058,5.011567001,FALSE,16,0,36,4582,37.537,0,1,0,200,0,202.6130653,denizlihabercom,No
1.55591E+18,Gülson,glson09420724,,,77,76,FALSE,TRUE,12493,FALSE,0,0.503267974,73.92307692,28.12426036,0.449704142,0.455621302,FALSE,4753,8,0,169,18.927,0.994818653,0,22,193,192,397.5,glson09420724,Yes
126443036,Av. Burak Erbay,burakerbaychp,MUĞLA,CHP Muğla Milletvekili | #KılıçdaroğluNeSöyledi: CHP varsa herkes için var!,18717,1866,FALSE,TRUE,3122,FALSE,75,0.909342661,0.666239863,0.911011524,0.398207426,3.994238156,FALSE,4269,0,75,4686,74.092,0.275,5,2,200,55,419.6984925,burakerbaychp,No
1.3652E+18,VESiM BARAN,vesimbaran2,,Bizi Aldatan Bizden Deģildir,1967,4664,FALSE,TRUE,7239,FALSE,28,0.296637008,10.41582734,117.4057554,6.710791367,2.830215827,FALSE,81597,1,0,695,64.078,0.95,0,863.5,200,190,180.9045226,vesimbaran2,No
1.28373E+18,D̆̈ȃ̈m̆̈l̑̈ă̈,damlavlonyaa,,,940,37,FALSE,TRUE,3714,FALSE,0,0.962128966,4.036956522,1.413043478,0.040217391,1.02173913,FALSE,1300,0,0,920,24.909,0.202020202,14,0,198,40,2434.111675,damlavlonyaa,No
1.14824E+18,Vighnar,vighnar1655,,,0,248,FALSE,TRUE,288,FALSE,0,0,0.222565688,3.057959815,0.191653787,0,FALSE,3957,4,0,1294,0,0,0,0,200,0,3545.728643,vighnar1655,No
1.55461E+18,ENGELLİ FELSEFE ÖĞRETMENİ,engelliogrtmn00,,ATAMA BEKLEYEN ENGELLi FELSEFE ÖĞRETMENİ,142,134,FALSE,TRUE,5076,FALSE,40,0.514492754,29.34104046,5.12716763,0.774566474,0.820809249,FALSE,887,2,0,173,24.344,0.015,1,1,200,3,14.47236181,engelliogrtmn00,Yes
338244139,Bağımsız Gazeteci,mustafaarst,Şanlıurfa,"Mustafa Arısüt / Sadece Allah'a bağlı... 

Ben ruhu zedelenmiş, sesi kısılmış ve kendisini ifade etmekte güçlük çeken insanların sesiyim.

#AjansUrfa #Şanlıurfa",26051,6825,FALSE,FALSE,39122,FALSE,160,0.792401752,9.303686088,11.16409037,1.623067776,6.195243757,FALSE,46945,0,31,4205,89.763,0.515,0,1,200,103,296.6834171,mustafaarst,No
1.34942E+18,Burcu,burcu22867204,,,2,15,TRUE,TRUE,410,FALSE,0,0.117647059,0.554803789,0.0067659,0.0202977,0.00270636,FALSE,5,8,0,739,3.048,0.01,0,0,200,2,28.94472362,burcu22867204,Yes
1.48717E+18,beyza,mvnez,,breathtaking beauty,151,115,FALSE,TRUE,2595,FALSE,19,0.567669173,7.228412256,10.56267409,0.320334262,0.420612813,FALSE,3792,0,1,359,23.884,0.03626943,0,0,193,7,195,mvnez,No
1.483E+18,B. Gürkan Yılmaz,bgurkanyilmaz,,,48,461,FALSE,TRUE,774,FALSE,0,0.094302554,2.091891892,52.18108108,1.245945946,0.12972973,FALSE,19307,0,0,370,23.881,0.191919192,0,0,198,38,555.5329949,bgurkanyilmaz,No
994676496,maqara HADUN,qara118,,Köyden dönerken  yolda jandarma beni arabadan indirdi sanırım asker kaçağıyım.,107811,8682,FALSE,FALSE,37613,FALSE,78,0.925471917,10.17117361,89.45321796,2.347755544,29.15386696,FALSE,330798,3,77,3698,105.092,0.005,10,0,200,1,144.7236181,qara118,No
1.27158E+18,Nihat GÖKYAR,gokyar_nihat,,,323,332,FALSE,TRUE,21526,FALSE,0,0.493129771,22.5639413,13.71278826,0.348008386,0.338574423,FALSE,13082,0,0,954,33.576,0.185929648,0,0,199,37,574.5454545,gokyar_nihat,Yes
1.22693E+18,Alpar Kaan Güven,alpar_kaan,,,51,171,FALSE,TRUE,509,FALSE,0,0.22972973,0.472609099,1.966573816,0.158774373,0.04735376,FALSE,2118,0,0,1077,20.336,0.217171717,0,0,198,43,3852.182741,alpar_kaan,No
2728987217,🇹🇷 Ayhan Öktem 🇹🇷,oktemayhan,Trabzon/Samanyolu Galaksi,"Terör örgütü elebaşlarının isteği yönünde oy kullananların cehenneme kadar yolu var! RT'ler düşüncemi yansıtır, destek amaçlıdır!!",282,61,FALSE,FALSE,63847,FALSE,130,0.822157434,20.60910265,2.791478373,0.019690123,0.091026469,FALSE,8648,0,0,3098,23.297,0.945,0,101,200,189,36.18090452,oktemayhan,No
1.4233E+18,o may gat|5 7🪩,nabiyonyevrum,to you,@iyisenapiyosn// ben yani abla,413,351,FALSE,TRUE,9900,FALSE,30,0.540575916,18.5046729,66.30654206,0.656074766,0.771962617,FALSE,35474,0,0,535,35.336,0.005076142,1,0,197,1,661.2244898,nabiyonyevrum,No
292843266,Kadir Özgen 🟢🇹🇷,kadirozgen38,"Adana, Türkiye",Durmak Yok Yola Devam,2472,2394,FALSE,FALSE,99051,FALSE,21,0.508014797,23.13735109,3.426068676,0.559215137,0.577435179,FALSE,14667,2,0,4281,60.793,0.735,0,3301.5,200,147,144.7236181,kadirozgen38,Yes
329534580,🦅 erkan dal,erka_dal,"İzmir, Türkiye",Arı inler bal içinde..,281,401,FALSE,TRUE,4662,FALSE,22,0.41202346,1.105001185,0.842142688,0.095046219,0.066603461,TRUE,3553,0,0,4219,33.829,0,0,0,0,0,0,erka_dal,No
136439924,ATILLA 🇹🇷🌎🇦🇿🇵🇰,mogollar32,,gören göze karanlık perde olamaz. görmek istemeyen göze ışık neylesin. Hz.Ali,144,339,FALSE,TRUE,8632,FALSE,77,0.298136646,1.85355379,1.819626369,0.072793644,0.030921194,FALSE,8474,2,7,4657,29.011,0.386934673,0,0,199,77,560,mogollar32,No
1.38596E+18,MATİLDA ❤,matlda_,,,571,552,FALSE,TRUE,5007,FALSE,0,0.508459484,7.847962382,9.02507837,0.865203762,0.894984326,FALSE,5758,0,0,638,40.094,0.955,0,93,200,191,137.4874372,matlda_,No
